,open,close,low,high,time,volume
0,1463.0,1457.2,1453.2,1467.6,2024-02-08_10:00:00,320049
1,1457.8,1457.4,1455.0,1460.0,2024-02-08_11:00:00,106994
2,1457.4,1458.2,1456.2,1459.0,2024-02-08_12:00:00,48191
3,1458.2,1460.6,1455.6,1467.2,2024-02-08_13:00:00,98831
4,1461.2,1463.4,1460.6,1464.4,2024-02-08_14:00:00,19593
5,1463.4,1460.8,1460.0,1464.8,2024-02-08_15:00:00,35721
6,1460.4,1462.2,1460.0,1463.8,2024-02-08_16:00:00,22044
7,1462.4,1458.2,1457.4,1465.0,2024-02-08_17:00:00,61326
8,1458.2,1459.8,1455.8,1460.8,2024-02-08_18:00:00,45651
9,1459.0,1456.2,1453.6,1459.2,2024-02-08_19:00:00,34587
10,1456.2,1455.2,1454.8,1458.0,2024-02-08_20:00:00,17729
11,1455.0,1443.0,1435.0,1455.2,2024-02-08_21:00:00,224921
12,1443.8,1441.8,1440.4,1444.0,2024-02-08_22:00:00,37079
13,1441.8,1438.4,1435.2,1441.8,2024-02-08_23:00:00,59842
14,1441.4,1441.4,1441.4,1441.4,2024-02-09_09:00:00,3023
15,1441.4,1443.8,1439.2,1452.4,2024-02-09_10:00:00,148066
16,1443.8,1452.8,1442.2,1455.4,2024-02-09_11:00:00,87419
17,1452.8,1450.6,1447.0,1454.0,2024-02-09_12:00:00,53762
18,1450.6,1448.2,1447.2,1455.0,2024-02-09_13:00:00,61571
19,1448.0,1453.0,1447.0,1453.0,2024-02-09_14:00:00,34932
20,1452.2,1456.0,1451.6,1459.2,2024-02-09_15:00:00,67890
21,1456.2,1443.6,1438.6,1466.4,2024-02-09_16:00:00,797665
22,1443.6,1442.4,1440.0,1445.0,2024-02-09_17:00:00,218399
23,1442.4,1423.0,1423.0,1444.4,2024-02-09_18:00:00,359066
24,1424.2,1427.6,1422.4,1428.2,2024-02-09_19:00:00,123744
25,1427.2,1426.0,1424.8,1427.6,2024-02-09_20:00:00,32250
26,1426.0,1424.6,1421.6,1426.6,2024-02-09_21:00:00,55515
27,1424.4,1423.2,1420.2,1424.8,2024-02-09_22:00:00,43437
28,1423.4,1425.0,1420.2,1426.4,2024-02-09_23:00:00,61774
29,1430.2,1426.2,1421.0,1430.2,2024-02-10_10:00:00,2678
30,1426.2,1428.8,1426.0,1429.0,2024-02-10_11:00:00,2932
31,1427.2,1425.2,1425.0,1428.8,2024-02-10_12:00:00,1856
32,1427.8,1428.0,1425.2,1430.0,2024-02-10_13:00:00,2996
33,1427.8,1427.8,1425.2,1428.8,2024-02-10_14:00:00,1904
34,1427.8,1428.8,1425.4,1429.0,2024-02-10_15:00:00,3760
35,1428.8,1428.6,1425.0,1429.0,2024-02-10_16:00:00,3220
36,1428.6,1427.6,1425.2,1428.8,2024-02-10_17:00:00,1248
37,1428.8,1429.0,1427.6,1429.0,2024-02-10_18:00:00,1386
38,1430.0,1429.0,1419.4,1430.0,2024-02-11_10:00:00,2228
39,1428.2,1428.4,1425.0,1428.8,2024-02-11_11:00:00,1400
40,1428.4,1429.2,1425.2,1429.2,2024-02-11_12:00:00,2374
41,1427.2,1428.8,1427.0,1430.0,2024-02-11_13:00:00,2524
42,1428.8,1427.2,1427.0,1429.0,2024-02-11_14:00:00,1446
43,1428.8,1430.0,1427.0,1430.0,2024-02-11_15:00:00,1566
44,1428.2,1429.6,1427.0,1430.0,2024-02-11_16:00:00,1098
45,1429.6,1432.2,1427.2,1435.2,2024-02-11_17:00:00,2532
46,1430.4,1428.0,1427.6,1432.0,2024-02-11_18:00:00,1704
47,1426.2,1426.2,1426.2,1426.2,2024-02-12_09:00:00,2405
48,1426.2,1412.6,1407.2,1431.0,2024-02-12_10:00:00,482933
49,1410.2,1405.6,1404.0,1413.8,2024-02-12_14:00:00,101009
